feature,mean,scale
binary_adjacent_two_sentence_overlap_all_lemmas,9.428943114074972,4.863648342453209
adjacent_sentence_overlap_content_lemmas,115.26124078003436,53.93624221154564
adjacent_sentence_overlap_content_lemmas_normed,10.546807113266647,4.964490117869481
binary_adjacent_sentence_overlap_content_lemmas,8.828028695564312,3.9451798767432935
adjacent_two_sentence_overlap_content_lemmas,91.87203192886733,48.59260777740856
adjacent_two_sentence_overlap_content_lemmas_normed,9.517682125896737,4.929790539245122
binary_adjacent_two_sentence_overlap_content_lemmas,6.6911690411235725,3.467061745051865
adjacent_sentence_overlap_function_lemmas,88.51288269172477,43.026950754208954
adjacent_sentence_overlap_function_lemmas_normed,10.534656966757604,4.966726334519051
binary_adjacent_sentence_overlap_function_lemmas,9.919369505910883,4.583293957034188
adjacent_two_sentence_overlap_function_lemmas,64.56471658078206,36.28568428469139
adjacent_two_sentence_overlap_function_lemmas_normed,9.50886632312822,4.944493069942857
binary_adjacent_two_sentence_overlap_function_lemmas,8.495175305648177,4.3686703182647575
adjacent_sentence_overlap_noun_lemmas,68.38137819541275,36.21466580823329
adjacent_sentence_overlap_noun_lemmas_normed,10.347529554410427,4.814930721794255
binary_adjacent_sentence_overlap_noun_lemmas,7.477114277053652,3.546598903931137
adjacent_two_sentence_overlap_noun_lemmas,55.374507426492876,32.732786661780345
adjacent_two_sentence_overlap_noun_lemmas_normed,9.232722036980903,4.736016338618292
binary_adjacent_two_sentence_overlap_noun_lemmas,4.920152571486309,3.019214519875148
adjacent_sentence_overlap_verb_lemmas,47.643654642821055,22.35458891707366
adjacent_sentence_overlap_verb_lemmas_normed,10.077750833585934,4.648633992118876
binary_adjacent_sentence_overlap_verb_lemmas,7.040239466505001,3.3229968760290176
adjacent_two_sentence_overlap_verb_lemmas,36.39019399818127,19.72779400113232
adjacent_two_sentence_overlap_verb_lemmas_normed,8.79377589168435,4.470905537092543
binary_adjacent_two_sentence_overlap_verb_lemmas,4.683060523390926,2.8655428400367278
adjacent_sentence_overlap_adjective_lemmas,10.593917348691523,7.227365631147588
adjacent_sentence_overlap_adjective_lemmas_normed,5.279604930787107,3.2390372578619906
binary_adjacent_sentence_overlap_adjective_lemmas,2.017227442659392,1.8644735901365865
adjacent_two_sentence_overlap_adjective_lemmas,7.263084773163585,6.617703720191123
adjacent_two_sentence_overlap_adjective_lemmas_normed,3.5433212084470043,2.950694077199055
binary_adjacent_two_sentence_overlap_adjective_lemmas,0.7621248863291906,1.2679242325619458
adjacent_sentence_overlap_adverb_lemmas,6.405072244114378,5.1341217713341525
adjacent_sentence_overlap_adverb_lemmas_normed,3.871274123471759,2.7409085895487624
binary_adjacent_sentence_overlap_adverb_lemmas,0.8108770334444781,1.1187797325939253
adjacent_two_sentence_overlap_adverb_lemmas,3.570324340709306,4.202936663193079
adjacent_two_sentence_overlap_adverb_lemmas_normed,2.2025108618773364,2.289238977476359
binary_adjacent_two_sentence_overlap_adverb_lemmas,0.19702940284934828,0.607478623748067
para_Cnt,1.0,1.0
sentence_Cnt,11.606244316459533,5.036629835831111
word_Cnt,141.04766595938162,61.420332019353715
morph_Cnt,310.2606850560776,130.30545232484573
char_Cnt,476.80009093664745,198.99240681768194
CL_Cnt,155.57095584520562,64.92116718760285
NL_Cnt,78.4872941295342,36.908984386551545
NN_Cnt,72.04339698898656,35.454171380282524
NNG_Cnt,58.5198292411842,29.97575366308811
NNP_Cnt,2.2786197837728603,4.8889063262481915
NNB_Cnt,11.244947964029503,6.204278534429911
NP_Cnt,5.9116651510558755,4.635921432834234
NP_People_Cnt,4.113771850055572,3.7017604600887175
NP_Things_Cnt,0.7825098514701425,1.1903060866440822
NR_Cnt,0.5322319894917652,1.056261515890648
